0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/slickgrid/plugins/slick.rowselectionmodel.js HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/slickgrid/plugins/slick.rowmovemanager.js HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/slickgrid/plugins/slick.checkboxselectcolumn.js HTTP/1.1" 200 5086
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/jquery.treetable/js/jquery.treetable.js HTTP/1.1" 200 14036
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/fullcalendar/gcal.js HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/d3/radar/radar-chart.js HTTP/1.1" 200 6335
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/fullcalendar/fullcalendar.js HTTP/1.1" 200 312617
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/d3/d3.js HTTP/1.1" 200 336413
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/dhtmlxGantt/dhtmlxgantt.js HTTP/1.1" 200 458746
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/d3/gauge/gauge-chart.js HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/d3/funnel/d3-funnel.js HTTP/1.1" 200 19114
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/d3/nv/nv.d3.js HTTP/1.1" 200 649422
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/codemirror/codemirror.min.js HTTP/1.1" 200 325062
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/wysiwyg/wysiwyg-editor.js HTTP/1.1" 200 41327
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/handsontable/handsontable.full.js HTTP/1.1" 200 920733
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/wysiwyg/wysiwyg.js HTTP/1.1" 200 55511
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular/angular-route.js HTTP/1.1" 200 36165
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular/angular-resource.js HTTP/1.1" 200 28127
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular-ui/sortable.js HTTP/1.1" 200 14594
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular/angular-sanitize.js HTTP/1.1" 200 24547
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular/angular.js HTTP/1.1" 200 1100891
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.ns.js HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/lib/angular/angular-animate.js HTTP/1.1" 200 146734
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/lib/utils.js HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.ng.js HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/lib/i18n.js HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/lib/dialogs.js HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/lib/tabs.js HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.auth.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.prefs.js HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.ds.js HTTP/1.1" 200 26530
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.app.js HTTP/1.1" 200 21753
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.ui.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.nav.js HTTP/1.1" 200 14175
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.navtree.js HTTP/1.1" 200 12716
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/axelor.data.js HTTP/1.1" 200 28371
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.navtabs.js HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.menubar.js HTTP/1.1" 200 7683
